genre,accuracy,precision,recall,f1_score,roc auc
blues,0.9473684210526315,0.9473684210526315,0.8866995073891626,0.9160305343511449,0.9965927977839336
classical,0.9894736842105263,0.9894736842105263,0.9447236180904522,0.9665809768637531,0.9993382579255156
country,0.8526315789473684,0.8526315789473684,0.8526315789473684,0.8526315789473685,0.9896860572483841
disco,0.868421052631579,0.868421052631579,0.9116022099447514,0.889487870619946,0.9907079101261927
hiphop,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.9907725453985843
jazz,0.9263157894736842,0.9263157894736842,0.9513513513513514,0.9386666666666668,0.9977223761157279
metal,0.9263157894736842,0.9263157894736842,0.9361702127659575,0.9312169312169313,0.9961957525392428
pop,0.9105263157894737,0.9105263157894737,0.8871794871794871,0.8987012987012988,0.9943244075100031
reggae,0.8894736842105263,0.8894736842105263,0.8802083333333334,0.8848167539267016,0.9922345337026778
rock,0.7263157894736842,0.7263157894736842,0.7796610169491526,0.7520435967302452,0.9649122807017545
